iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
218,0.2,128,50,1,0,sigmoid,normal,,0.7571623067198289,0.840309916380357,196.0012230873108,13
219,0.2,128,50,1,0.2,sigmoid,zero,,0.7585626762617912,0.8402789488319092,208.12056016921997,13
220,0.2,128,50,1,0.2,sigmoid,uniform,,0.7559369833706118,0.8394776172790122,214.89324975013733,13
221,0.2,128,50,1,0.2,sigmoid,normal,,0.7573762520665176,0.8405450183515838,212.32132935523987,13
222,0.2,128,50,1,0.4,sigmoid,zero,,0.7576874452980648,0.8269439589192276,203.29279851913452,13
223,0.2,128,50,1,0.4,sigmoid,uniform,,0.756043956043956,0.8367507712799996,217.40863227844238,13
224,0.2,128,50,1,0.4,sigmoid,normal,,0.7555577166196635,0.8359529825503529,219.00823545455933,13
225,0.2,128,50,2,0,sigmoid,zero,,0.7354468540309247,0.6284232289464027,224.0484127998352,13
226,0.2,128,50,2,0,sigmoid,uniform,,0.756170378294272,0.8396465193774454,222.71931076049805,13
227,0.2,128,50,2,0,sigmoid,normal,,0.7549450549450549,0.8386648483501312,221.19124913215637,13
228,0.2,128,50,2,0.2,sigmoid,zero,,0.755859185062725,0.8352624628101272,259.8088572025299,13
229,0.2,128,50,2,0.2,sigmoid,uniform,,0.7589224934357678,0.8417210306605662,232.21792244911194,13
230,0.2,128,50,2,0.2,sigmoid,normal,,0.7559953321015269,0.8395226396867165,238.64498829841614,13
231,0.2,128,50,2,0.4,sigmoid,zero,,0.7555285422542058,0.836054521483473,257.10632252693176,13
232,0.2,128,50,2,0.4,sigmoid,uniform,,0.7569678109501119,0.8362176005177548,236.43134260177612,13
233,0.2,128,50,2,0.4,sigmoid,normal,,0.7565885441991637,0.8399267501954288,256.23897528648376,13
234,0.2,128,50,3,0,sigmoid,zero,,0.7288826218029758,0.6576257570542728,241.32007670402527,13
235,0.2,128,50,3,0,sigmoid,uniform,,0.7491588057959738,0.8344112190655321,258.540194272995,13
