iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
108,0.2,64,50,1,0,tanh,zero,,0.6117507860870692,0.23566009611647457,282.72774934768677,13
109,0.2,64,50,1,0,tanh,uniform,,0.7967681286265356,0.7277082476299792,272.6673548221588,13
110,0.2,64,50,1,0,tanh,normal,,0.7900223670135175,0.7164998282647506,281.79427766799927,13
111,0.2,64,50,1,0.2,tanh,zero,,0.6117507860870692,0.23566009611647457,318.963330745697,13
112,0.2,64,50,1,0.2,tanh,uniform,,0.8319037894259135,0.7767929653650724,306.00151658058167,13
113,0.2,64,50,1,0.2,tanh,normal,,0.825550260948491,0.7669941717085862,311.13093161582947,13
114,0.2,64,50,1,0.4,tanh,zero,,0.6117507860870692,0.23566009611647457,315.22640585899353,13
115,0.2,64,50,1,0.4,tanh,uniform,,0.8341534571623069,0.7786437850250537,323.32548809051514,13
116,0.2,64,50,1,0.4,tanh,normal,,0.8315374890596131,0.7749285667465221,326.12181520462036,13
117,0.2,64,50,2,0,tanh,zero,,0.6117507860870692,0.23566009611647457,353.63878750801086,13
118,0.2,64,50,2,0,tanh,uniform,,0.8014036111381244,0.7345720619411501,354.63960099220276,13
119,0.2,64,50,2,0,tanh,normal,,0.7851534895782685,0.7096866339282474,324.8022494316101,13
120,0.2,64,50,2,0.2,tanh,zero,,0.6117507860870692,0.23566009611647457,369.628210067749,13
121,0.2,64,50,2,0.2,tanh,uniform,,0.8175013776783687,0.7559456287988257,379.1871392726898,13
122,0.2,64,50,2,0.2,tanh,normal,,0.8131187396674123,0.7499359223632293,368.1907489299774,13
123,0.2,64,50,2,0.4,tanh,zero,,0.6117507860870692,0.23566009611647457,357.94488072395325,13
124,0.2,64,50,2,0.4,tanh,uniform,,0.8240137443677268,0.7638335132083967,365.1957745552063,13
125,0.2,64,50,2,0.4,tanh,normal,,0.8240364355408604,0.7616233993227856,380.1851031780243,13
126,0.2,64,50,3,0,tanh,zero,,0.6117507860870692,0.23566009611647457,394.24216890335083,13
127,0.2,64,50,3,0,tanh,uniform,,0.7955719796427762,0.726754941953221,382.8421630859375,13
128,0.2,64,50,3,0,tanh,normal,,0.7849687185970371,0.7097681043059402,433.616662979126,13
129,0.2,64,50,3,0.2,tanh,zero,,0.6117507860870692,0.23566009611647457,518.3237817287445,13
130,0.2,64,50,3,0.2,tanh,uniform,,0.8095238095238096,0.7440793191212209,484.7298378944397,13
131,0.2,64,50,3,0.2,tanh,normal,,0.7984861745923693,0.7272456035733998,435.0971345901489,13
132,0.2,64,50,3,0.4,tanh,zero,,0.6117507860870692,0.23566009611647457,466.06114196777344,13
133,0.2,64,50,3,0.4,tanh,uniform,,0.8209698855716556,0.7582939635238707,459.5866436958313,13
134,0.2,64,50,3,0.4,tanh,normal,,0.8160296930208436,0.7518263873921607,449.2891983985901,13
135,0.2,64,50,1,0,sigmoid,zero,,0.633557003468508,0.2740525987683941,344.85991072654724,13
136,0.2,64,50,1,0,sigmoid,uniform,,0.8554118447923759,0.8101271117569112,300.79357266426086,13
137,0.2,64,50,1,0,sigmoid,normal,,0.8526532464585561,0.8062778640036985,339.60481667518616,13
138,0.2,64,50,1,0.2,sigmoid,zero,,0.8713442899283608,0.831683640853066,355.15269017219543,13
139,0.2,64,50,1,0.2,sigmoid,uniform,,0.8723880838925088,0.8324643572086347,381.1458349227905,13
140,0.2,64,50,1,0.2,sigmoid,normal,,0.8730623358941944,0.8331392615125583,355.897465467453,13
141,0.2,64,50,1,0.4,sigmoid,zero,,0.876916593730753,0.8383701395819497,376.7020478248596,13
142,0.2,64,50,1,0.4,sigmoid,uniform,,0.877561671366981,0.8392799648957917,299.8040063381195,13
143,0.2,64,50,1,0.4,sigmoid,normal,,0.8784855262731368,0.8404957893994867,311.57440185546875,13
144,0.2,64,50,2,0,sigmoid,zero,,0.6448734156698759,0.30987619919661424,323.7302451133728,13
145,0.2,64,50,2,0,sigmoid,uniform,,0.8422347563940484,0.7924851038072,324.71776700019836,13
146,0.2,64,50,2,0,sigmoid,normal,,0.84135628383416,0.7901204074416084,328.5801923274994,13
147,0.2,64,50,2,0.2,sigmoid,zero,,0.8687348050179908,0.8278474424666398,357.3258786201477,13
148,0.2,64,50,2,0.2,sigmoid,uniform,,0.8660248306266006,0.823930510832741,360.1163454055786,13
149,0.2,64,50,2,0.2,sigmoid,normal,,0.8662809167233946,0.8244201705751755,353.7314341068268,13
150,0.2,64,50,2,0.4,sigmoid,zero,,0.8711562773509677,0.8303078682700386,382.4520466327667,13
151,0.2,64,50,2,0.4,sigmoid,uniform,,0.8717592142370902,0.8313587302829781,387.2926058769226,13
152,0.2,64,50,2,0.4,sigmoid,normal,,0.8738338357807384,0.833924285780863,371.65713930130005,13
153,0.2,64,50,3,0,sigmoid,zero,,0.6286103277253721,0.27721067031572416,369.59165811538696,13
154,0.2,64,50,3,0,sigmoid,uniform,,0.8225096437485818,0.7637225835675608,384.93746638298035,13
155,0.2,64,50,3,0,sigmoid,normal,,0.8254205971020129,0.7694727020438213,400.4182949066162,13
156,0.2,64,50,3,0.2,sigmoid,zero,,0.8537326979804856,0.8086554462669555,436.49538111686707,13
